ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,Sport,Medal
720,Marcelo Alberto Acosta Jimnez,M,20,NA,NA,El Salvador,ESA,2016 Summer,2016,Summer,Swimming,NA
721,Mara Jos Acosta Acosta,F,24,172,69,Venezuela,VEN,2016 Summer,2016,Summer,Wrestling,NA
726,Tanya Acosta,F,25,182,70,Argentina,ARG,2016 Summer,2016,Summer,Volleyball,NA
742,Roberto Acua,M,25,208,109,Argentina,ARG,2016 Summer,2016,Summer,Basketball,NA
743,Arslanbek Aylow,M,23,177,75,Turkmenistan,TKM,2016 Summer,2016,Summer,Boxing,NA
750,Seiya Adachi,M,21,172,67,Japan,JPN,2016 Summer,2016,Summer,Water Polo,NA
760,Constantin Adam,M,20,202,105,Romania,ROU,2016 Summer,2016,Summer,Rowing,NA
769,Leonie Adam,F,23,162,54,Germany,GER,2016 Summer,2016,Summer,Trampolining,NA
804,Antoine Xavier Adams,M,27,180,79,Saint Kitts and Nevis,SKN,2016 Summer,2016,Summer,Athletics,NA
804,Antoine Xavier Adams,M,27,180,79,Saint Kitts and Nevis,SKN,2016 Summer,2016,Summer,Athletics,NA
804,Antoine Xavier Adams,M,27,180,79,Saint Kitts and Nevis,SKN,2016 Summer,2016,Summer,Athletics,NA
811,Natalie Cammile Adams (-Brannan),F,24,173,65,United States,USA,2016 Summer,2016,Summer,Swimming,NA
823,Liam Adams,M,29,178,64,Australia,AUS,2016 Summer,2016,Summer,Athletics,NA
827,Mareike Adams,F,26,174,73,Germany,GER,2016 Summer,2016,Summer,Rowing,NA
832,Nicola Virginia Adams,F,33,164,51,Great Britain,GBR,2016 Summer,2016,Summer,Boxing,Gold
834,Paul Adams,M,24,185,98,Australia,AUS,2016 Summer,2016,Summer,Shooting,NA
837,Rachael Alexis Adams,F,26,188,81,United States,USA,2016 Summer,2016,Summer,Volleyball,Bronze
846,Valerie Kasanita Adams-Vili (-Price),F,31,193,120,New Zealand,NZL,2016 Summer,2016,Summer,Athletics,Silver
864,Yasemin Adar,F,24,180,75,Turkey,TUR,2016 Summer,2016,Summer,Wrestling,NA
867,"Christopher Thomas ""Chris"" Adcock",M,27,183,80,Great Britain,GBR,2016 Summer,2016,Summer,Badminton,NA
869,"  Gabrielle Marie ""Gabby"" Adcock (White-)",F,25,167,NA,Great Britain,GBR,2016 Summer,2016,Summer,Badminton,NA
894,James Adede,M,29,162,92,Kenya,KEN,2016 Summer,2016,Summer,Weightlifting,NA
900,Oluwakemi 'Kemi' Adekoya,F,23,166,63,Bahrain,BRN,2016 Summer,2016,Summer,Athletics,NA
902,Odunayo Folasade Adekuoroye,F,22,169,53,Nigeria,NGR,2016 Summer,2016,Summer,Wrestling,NA
915,Abrar Osman Adem,M,22,168,58,Eritrea,ERI,2016 Summer,2016,Summer,Athletics,NA
916,Biko Adema,M,28,177,85,Kenya,KEN,2016 Summer,2016,Summer,Rugby Sevens,NA
924,Aminat Oluwafunmilayo Adeniyi,F,23,165,58,Nigeria,NGR,2016 Summer,2016,Summer,Wrestling,NA
925,Adenzia Aparecida Ferreira da Silva,F,29,187,65,Brazil,BRA,2016 Summer,2016,Summer,Volleyball,NA
931,Nyakisi Adero,F,30,NA,NA,Uganda,UGA,2016 Summer,2016,Summer,Athletics,NA
944,Haydy Morsy Adil,F,16,168,58,Egypt,EGY,2016 Summer,2016,Summer,Modern Pentathlon,NA
954,Adiyasambuu Tsolmon,F,23,165,65,Mongolia,MGL,2016 Summer,2016,Summer,Judo,NA
961,"Bradley Don ""Brad"" Adkins",M,22,188,80,United States,USA,2016 Summer,2016,Summer,Athletics,NA
1004,Aurimas Adomaviius,M,22,204,100,Lithuania,LTU,2016 Summer,2016,Summer,Rowing,NA
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,USA,2016 Summer,2016,Summer,Swimming,Bronze
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,USA,2016 Summer,2016,Summer,Swimming,Bronze
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,USA,2016 Summer,2016,Summer,Swimming,Gold
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,USA,2016 Summer,2016,Summer,Swimming,Gold
1018,Vera Adrian,F,22,168,57,Namibia,NAM,2016 Summer,2016,Summer,Cycling,NA
1023,"Adriana ""Adrianinha"" Moiss Pinto",F,37,170,65,Brazil,BRA,2016 Summer,2016,Summer,Basketball,NA
1035,Erkin Adylbek uulu,M,25,190,80,Kyrgyzstan,KGZ,2016 Summer,2016,Summer,Boxing,NA
1052,Jasper Aerents,M,23,191,86,Belgium,BEL,2016 Summer,2016,Summer,Swimming,NA
1052,Jasper Aerents,M,23,191,86,Belgium,BEL,2016 Summer,2016,Summer,Swimming,NA
1068,Brian O'Neill Afanador Prez,M,19,175,68,Puerto Rico,PUR,2016 Summer,2016,Summer,Table Tennis,NA
1074,Khairulnizam Mohd Afendy,M,23,182,70,Malaysia,MAS,2016 Summer,2016,Summer,Sailing,NA
1082,Ahmed Afifi,M,28,194,92,Egypt,EGY,2016 Summer,2016,Summer,Volleyball,NA
1087,Evelina Afoa,F,17,162,60,Samoa,SAM,2016 Summer,2016,Summer,Swimming,NA
1092,Paixo Afonso,M,25,176,80,Angola,ANG,2016 Summer,2016,Summer,Sailing,NA
1093,Marina Anatolyevna Aframeyeva,F,25,171,62,Russia,RUS,2016 Summer,2016,Summer,Equestrianism,NA
1095,Cecil Sebastian Afrika,M,28,175,75,South Africa,RSA,2016 Summer,2016,Summer,Rugby Sevens,Bronze
1098,Khristos Afroudakis,M,32,188,88,Greece,GRE,2016 Summer,2016,Summer,Water Polo,NA
1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27,193,104,South Africa,RSA,2016 Summer,2016,Summer,Rugby Sevens,Bronze
1114,Luca Agamennoni,M,35,187,93,Italy,ITA,2016 Summer,2016,Summer,Rowing,NA
1131,Clarisse Agbegnenou,F,23,164,66,France,FRA,2016 Summer,2016,Summer,Judo,Silver
1145,Maia Kristiane Agerup,F,21,172,NA,Norway,NOR,2016 Summer,2016,Summer,Sailing,NA
