date,mean temperature,co2 (ppm)
6/6/1970,-0.03,327.67
5/6/1970,-0.05,328.08
4/6/1970,0.09,328.14
3/6/1970,0.08,326.93
2/6/1970,0.22,325.98
1/6/1970,0.09,325.06
12/6/1969,0.27,324.12
11/6/1969,0.12,322.85
10/6/1969,0.11,321.78
9/6/1969,0.1,322.38
8/6/1969,0.03,323.66
7/6/1969,-0.01,325.88
6/6/1969,0.05,326.7
5/6/1969,0.2,327.38
4/6/1969,0.19,326.66
3/6/1969,0,325.63
2/6/1969,-0.14,324.42
1/6/1969,-0.11,324
12/6/1968,-0.14,322.89
11/6/1968,-0.04,321.32
10/6/1968,0.12,320.25
9/6/1968,-0.18,320.33
8/6/1968,-0.11,322.11
7/6/1968,-0.11,324.14
6/6/1968,-0.06,325.36
5/6/1968,-0.1,325.57
4/6/1968,-0.05,325.02
3/6/1968,0.21,323.89
2/6/1968,-0.15,323.14
1/6/1968,-0.23,322.57
12/6/1967,-0.02,321.96
11/6/1967,-0.06,320.72
10/6/1967,0.06,319.39
9/6/1967,-0.04,319.25
8/6/1967,0.02,320.92
7/6/1967,0.01,322.55
6/6/1967,-0.08,324.09
5/6/1967,0.14,325
4/6/1967,-0.05,324.42
3/6/1967,0.03,323.04
2/6/1967,-0.2,322.5
1/6/1967,-0.06,322.32
12/6/1966,-0.06,321.03
11/6/1966,-0.02,319.79
10/6/1966,-0.15,318.1
9/6/1966,-0.01,318.64
8/6/1966,-0.1,320.36
7/6/1966,0.09,322.39
6/6/1966,0.02,323.75
5/6/1966,-0.1,324.08
4/6/1966,-0.13,323.7
3/6/1966,0.04,322.39
2/6/1966,0,321.59
1/6/1966,-0.16,320.62
12/6/1965,-0.05,319.42
11/6/1965,-0.06,318.87
10/6/1965,-0.04,317.3
9/6/1965,-0.15,317.82
8/6/1965,-0.01,318.87
7/6/1965,-0.12,321.21
6/6/1965,-0.08,321.87
5/6/1965,-0.14,322.16
4/6/1965,-0.2,322.14
3/6/1965,-0.11,320.89
